Recto,Verso,Commentaire,Source,Tags
"Traumatisme fermé de l’épaule gauche, chez un enfant de 13 ans, suite à une chute lors d’un jeu. L’examen a trouvé un œdème important de l’épaule, une douleur exquise à la palpation de l’extrémité supérieure de l’humérus et une absence de troubles vasculo-nerveux. La radiographie faite, a montré: Quelle est votre attitude thérapeutique?","Réponse Réduction orthopédique sous scope avec un embrochage centro-médullaire élastique stable . fig2 Après une durée de 4 mois, la radiographie a montré: [image][image]","Traitement des fractures métaphysaires: ➢ Pour le type I: une immobilisation coude au corps et sans réduction, par un bandage de type DUJARIER, est suffisante pendant 3 semaines. ➢ Pour le type II ou III: à partir de 20° d'angulation, la réduction devient nécessaire et sera associée à une immobilisation plâtrée, coude au corps, si la fracture est stable. Pour les fractures instables, il est préférable de réaliser un embrochage centro-médullaire élastique stable ou fasciculé; à foyer fermé.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Imaging Mechanism::Chute Mechanism::Sport NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Traumatology UpperExtremity
"Traumatisme fermé du bras gauche chez un enfant de 12ans, suite à un AVP. L’examen clinique a trouvé une déformation du bras et une douleur exquise en regard sans ouverture cutanée ni troubles vasculo-nerveux. Une radiographie a été faite, et a montré: Interprétez la radiographie [image]","Réponse Fracture diaphysaire à trait oblique court de l’humérus gauche à la jonction 1/3 supérieur 1/3 moyen, avec chevauchement.","La fracture diaphysaire de l’humérus est peu fréquente chez l’enfant. Elle fait suite à un traumatisme de haute énergie. Son diagnostic, évident, se fait par la mise en évidence d’une impotence fonctionnelle du membre supérieur, la déformation du bras et l’impression de raccourcissement du membre.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Bras Topic::FractureOuverte Traumatology UpperExtremity
"Traumatisme fermé du bras gauche chez un enfant de 12ans, suite à un AVP. L’examen clinique a trouvé une déformation du bras et une douleur exquise en regard sans ouverture cutanée ni troubles vasculo-nerveux. Une radiographie a été faite, et a montré: Quelle est la complication qu’il faut craindre?",Réponse Une lésion du nerf radial . fig2: schéma illustrant le mécanisme de lésion du nerf radial dans une fracture diaphysaire de l'humérus [image],La paralysie radiale d’emblée constatée lors d’une fracture de la diaphyse humérale est dans la majorité des cas due à une contusion du nerf dont les effets vont être régressifs.,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Complications Mechanism::AVP Orthopedics Pediatrics Region::Bras Topic::FractureOuverte Topic::Neurovasculaire Traumatology UpperExtremity
"Traumatisme fermé du bras gauche chez un enfant de 12ans, suite à un AVP. L’examen clinique a trouvé une déformation du bras et une douleur exquise en regard sans ouverture cutanée ni troubles vasculo-nerveux. Une radiographie a été faite, et a montré: Comment la rechercher?","Réponse ➢ mobilité par la flexion dorsale du poignet et l’extension des métacarpo-phalangiennes. ➢ sensibilité de la tabatière anatomique, zone sensitive privilégiée du nerf radial",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Complications Mechanism::AVP Orthopedics Pediatrics Region::Bras Topic::FractureOuverte Topic::Neurovasculaire Traumatology UpperExtremity
"Traumatisme fermé du bras gauche chez un enfant de 12ans, suite à un AVP. L’examen clinique a trouvé une déformation du bras et une douleur exquise en regard sans ouverture cutanée ni troubles vasculo-nerveux. Une radiographie a été faite, et a montré: Quel traitement proposez-vous?",Réponse Réduction orthopédique avec un embrochage percutané centro-médullaire élastique stable de METAIZEAU . [image],,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,CaseBasedLearning Complications Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Bras SurgicalManagement Topic::FractureOuverte Traumatology UpperExtremity
"Traumatisme fermé du coude droit chez un enfant de 7ans, suite à une chute de sa hauteur, avec réception sur la main, coude en extension. L’examen clinique a trouvé une douleur exquise à la palpation du coude droit, un examen vasculo-nerveux sans anomalie. La radiographie du coude droit a montré Quel est votre diagnostic? [image][image]",Réponse Fracture supra-condylienne du coude droit stade I . [image],"Les fractures supra-condyliennes sont très fréquentes. Elles représentent 60% des fractures du coude de l'enfant. Elles touchent l’enfant aux alentours de 7 ans, à cause de la présence d’une hyper-extension physiologique qui favorise la fracture en cas d'hyper-extension forcée. Dès lors 95% des fractures supra-condyliennes se font avec un mécanisme en extension. Contre 5% qui se font avec un mécanisme en flexion. Les fractures en extension sont classées, selon LAGRANGE et RIGAULT, comme suit : Fracture en extension: stade I : uniquement la corticale antérieure est rompue, non déplacée stade II : fracture des 2 corticales, bascule postérieure pure, le périoste postérieur reste toujours intact stade III: dès qu'il y a une rotation ou une translation, mais les 2 fragments restent en contact l'un avec l'autre stade IV: déplacement complet, il n'y a plus de contact entre les fragments fig4: schéma illustrant la classification de LAGRANGE et RIGAULT des fractures supra-condyliennes .",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
"Traumatisme fermé du coude droit chez un enfant de 7ans, suite à une chute de sa hauteur, avec réception sur la main, coude en extension. L’examen clinique a trouvé une douleur exquise à la palpation du coude droit, un examen vasculo-nerveux sans anomalie. La radiographie du coude droit a montré Pour quel traitement optez-vous?","Réponse La contention selon la méthode de BLOUNT. Elle se fait par l’immobilisation du coude en hyper-flexion , ou un plâtre brachio-anté-brachio-palmaire en légère flexion du coude, à garder pendant 4 semaines. [image]",La réduction des fractures supra-condyliennes en extension n’est stable qu’en flexion du coude à angle aigu. C’est donc ainsi qu’il faut immobiliser le coude à la condition essentielle que le pouls radial continue à être perçu et que la vascularisation distale soit parfaite. La méthode de BLOUNT répond à ce critère.,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
"Traumatisme fermé du coude droit chez un enfant de 7ans, suite à une chute de sa hauteur, avec réception sur la main, coude en extension. L’examen clinique a trouvé une douleur exquise à la palpation du coude droit, un examen vasculo-nerveux sans anomalie. La radiographie du coude droit a montré Quelle est la contre-indication absolue de la méthode de BLOUNT?",Réponse La présence d’œdème important est une contre-indication absolue à cette méthode.,"Un œdème important est une contre-indication à la contention en flexion car la peau peut se plicaturer et faire compression sur le paquet vasculo-nerveux. Mais il existe d’autres contre-indication à cette méthode, dont on cite: les fractures supra-condyliennes par flexion représentent par définition une contre-indication. Une fracture avec une lésion vasculaire représente une contre-indication certaine. Cependant, un syndrome ischémique suivant immédiatement la réduction n’est pas exceptionnel et sa survenue n’est pas une contre-indication, dans la mesure où il se lève très rapidement. La surveillance clinique post-opératoire sera encore plus étroite, et le dispositif de contention en flexion le permet particulièrement bien. Il ne faut pas tolérer et maintenir une flexion d’une fracture mal réduite. La contention ne serait plus aussi efficace.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Supracondylienne Traumatology UpperExtremity
"Traumatisme fermé du membre supérieur gauche, chez un enfant de 9ans, avec réception sur la paume de la main. L’examen a trouvé une attitude du traumatisé du membre supérieur gauche, une douleur exquise à la palpation de l’extrémité inférieur de l’humérus gauche, des pouls distaux palpable et un examen neurologique normal. La radiographie faite, a montré: Interpréter la radiographie. De quel type de mécanisme s’agit-il? [image][image]",Réponse Fracture supra-condylienne gauche stade II par mécanisme en extension.,"Les fractures en extension sont classées, selon LAGRANGE et RIGAULT, comme suit : Fracture en extension: stade I : uniquement la corticale antérieure est rompue, non déplacée stade II : fracture des 2 corticales, bascule postérieure pure, le périoste postérieur reste toujours intact stade III: dès qu'il y a une rotation ou une translation, mais les 2 fragments restent en contact l'un avec l'autre stade IV: déplacement complet, il n'y a plus de contact entre les fragments fig3: schéma illustrant la classification de LAGRANGE et RIGAULT des fractures supra-condyliennes .",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Imaging Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
"Traumatisme fermé du membre supérieur gauche, chez un enfant de 9ans, avec réception sur la paume de la main. L’examen a trouvé une attitude du traumatisé du membre supérieur gauche, une douleur exquise à la palpation de l’extrémité inférieur de l’humérus gauche, des pouls distaux palpable et un examen neurologique normal. La radiographie faite, a montré: Quel traitement préconisez-vous pour ce patient?","Réponse Le traitement consiste en une réduction sous anesthésie générale, suivie d’une ostéosynthèse par broches selon la technique de JUDET. fig4 [image][image]","Indications dans les fractures en extension de l’enfant: ➢ Pour les fractures de stade I non déplacées, la méthode de JUDET ne présente pas d’intérêt. ➢ Pour les fractures de stade II et III, la méthode de stabilisation est par contre plus discutée: si le BLOUNT offre l’avantage de la simplicité d’exécution, il nécessite avant tout l’absence de toutes contre-indication. Par ailleurs il nécessite l’assurance d’une famille coopérante et une surveillance rigoureuse d’au moins 48 heures. Quand ces conditions ne sont pas remplies, la méthode de JUDET est justifiée. Elle se fait après la réduction de la fracture. Cette dernière est stabilisée par deux broches de Kirschner introduites le long du côté latéral, par voie percutanée. Une alternative est l’utilisation de deux broches de Kirschner croisées en évitant consciencieusement de blesser le nerf ulnaire. ➢ pour les fractures de stade IV, les risques de fracture instable, dont le diagnostic n’est pas toujours facile devant un coude très œdèmatié, nous fait proposer une réduction orthopédique suivie d’une fixation percutanée par broches. ➢ Pour toutes ces fractures, en l’absence d’une réduction anatomique parfaite ne permettant pas un brochage correct, la réduction chirurgicale s’impose. La réduction de la fracture se fait sur un enfant installé à plat dos, en bord de table. L’aide prend à l’épaule à pleines mains pour une contre-extension. Le chirurgien lui fait face, empoignant l’avant-bras. Il y a plusieurs temps dans cette réduction . La traction dans l’axe du bras se fait de manière douce et prolongée pour préserver le périoste, coude en extension ou même en légère hyper-extension pour détendre le périoste postérieur. La translation latérale ou médiale La translation antérieure en flexion du coude Enfin le blocage par pronation ou par supination de l’avant-bras selon que le périoste interne ou externe semblait continu. fig6: schéma illustrant les étapes de réduction des fractures supra-condyliennes",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
"Traumatisme fermé du membre supérieur gauche, chez un enfant de 9ans, avec réception sur la paume de la main. L’examen a trouvé une attitude du traumatisé du membre supérieur gauche, une douleur exquise à la palpation de l’extrémité inférieur de l’humérus gauche, des pouls distaux palpable et un examen neurologique normal. La radiographie faite, a montré: Quels sont les critères radiologiques d’une bonne réduction?","Réponse ✔ Sur une radiographie de profil, l’axe de la palette humérale doit créer avec l’axe de la diaphyse humérale un angle de 30 à 40° . ✔ Sur une radiographie de face, l’angle entre l’axe de la diaphyse humérale et la ligne passant par la physe du condyle latéral (angle de BAUMANN) doit être d’une valeur de 72° ± 5° (il permet d’apprécier le risque de cubitus varus). [image]","Selon les critères de MARION et LAGRANGE les résultats sont appréciés comme suit: Résultat parfait: le coude est identique cliniquement et radiologiquement au côté opposé. Résultat bon: la fonction du coude est bonne, mais il persiste: ➔ soit un léger déficit de la mobilité inférieur à 10° en flexion et/ou en extension ➔ soit un défaut d'axe inférieur à 10° ➔ soit une déformation inesthétique même minime ➔ soit un léger déficit de la force musculaire Résultat médiocre: la fonction du coude est anormale, il s'agit: ➔ soit d'un déficit de la mobilité supérieur à 20° ➔ soit un défaut d'axe supérieur à 10° ➔ soit un déficit important de la force musculaire Résultat mauvais: mauvaise fonction du coude avec: ➔ soit un déficit de la mobilité supérieure à 50° ➔ soit un défaut d'axe de 20° ➔ soit un déficit plus important de la force musculaire ➔ soit un trouble moteur ou sensitif",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Imaging Orthopedics Pediatrics Region::Coude Topic::CalVicieux Topic::CondyleLateral Topic::Supracondylienne Traumatology UpperExtremity
"Enfant de 3ans, victime 3 mois avant son admission d’une fracture fermée de l’avant-bras gauche, traitée par plâtre brachio-anté-brachio-palmaire pendant 6 semaines. À l’ablation du plâtre, l’examen a trouvé une persistance d’une angulation de l’avant-bras, avec flessum du poignet, une rétraction des doigts en flexion irréductible et une absence de douleurs. La radiographie a montré (fig1): Quel est votre diagnostic?",Réponse Syndrome de Volkman en évolution sur une fracture des deux os de l’avant-bras gauche,"Le syndrome de Volkman: Il se définit comme l’association d’une rétraction des muscles de la loge antérieure de l’avant-bras à une paralysie +/- étendue des muscles de la main Il s’agit d’une conséquence d’ischémie intéressant les différents tissus, notamment, les masses musculaires de l’avant-bras et bien souvent des nerfs médian et ulnaire Ces lésions musculaires et ce déficit nerveux s’associent pour créer une main paralytique Après la phase aiguë, correspondant au syndrome de loges, deux symptômes sont objectivés: la rétraction musculaire et la paralysie. Alors qu’il y a régression des douleurs et recoloration des doigts. Le traitement du syndrome de Volkman reste palliatif.",Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications NonOperativeManagement Orthopedics Pediatrics Region::Coude Topic::Neurovasculaire Topic::SyndromeDeLoge Traumatology UpperExtremity
