Texte_cloze,Extra,Source,Tags
Plâtre brachio-anté-brachio-palmaire en pronation pendant {{c1::3 semaines}},,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::ColRadius Traumatology UpperExtremity
Réduction orthopédique et immobilisation par plâtre brachio-anté-brachio-palmaire pendant {{c1::4 à 6 semaines}} en pronation,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::ColRadius Traumatology UpperExtremity
(après réduction il faut que la pronation et la supination soient toutes les 2 > {{c1::50°}}),,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::ColRadius Traumatology UpperExtremity
La classification selon {{c1::JUDET}},,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::ColRadius Traumatology UpperExtremity
"Déplacement latéral <{{c1::50%}}, angulation<30°",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::ColRadius Traumatology UpperExtremity
"Angulation>{{c1::60°}}, divisé en deux groupes par METAIZEAU",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::ColRadius Traumatology UpperExtremity
"Leur retentissement fonctionnel est variable, mais la limitation de la prono-supination n’est objective qu’à partir de {{c1::20°}} d’inclinaison résiduelle.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::ColRadius Topic::Pseudarthrose Traumatology UpperExtremity
Elles représentent {{c1::10%}} des fractures du coude de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::EpicondyleMedial Topic::Neurovasculaire Traumatology UpperExtremity
On peut assister dans les grands déplacements à une compression du {{c1::nerf cubital}} .,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::EpicondyleMedial Topic::Neurovasculaire Traumatology UpperExtremity
Ces repères dessinent une ligne droite en extension et un triangle en flexion à {{c1::90°}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Olecrane Traumatology UpperExtremity
On peut assister dans les grands déplacements à une compression du {{c1::nerf cubital}} .,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::EpicondyleMedial Topic::Neurovasculaire Traumatology UpperExtremity
La fracture de l’olécrane est relativement rare ({{c1::5%}} des fractures du coude).,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::ColRadius Topic::CondyleLateral Topic::Olecrane Traumatology UpperExtremity
"Le traitement repose sur l'immobilisation plâtrée, pendant {{c1::3 à 6 semaines}}, dans les formes non déplacées.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude Topic::Olecrane Traumatology UpperExtremity
La lésion de MONTEGGIA représente {{c1::2%}} des fractures de l’avant bras de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning GrowthPlate Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude SalterHarris Topic::ColRadius Topic::DecollementEpiphysaire Topic::Monteggia Traumatology UpperExtremity
La lésion de {{c1::MONTEGGIA}} se décompose en trois groupes selon la classification de TRILLAT,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning GrowthPlate Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude SalterHarris Topic::ColRadius Topic::DecollementEpiphysaire Topic::Monteggia Traumatology UpperExtremity
{{c1::90%}} des lésions MONTEGGIA sont accessibles au traitement orthopédique.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::ColRadius Topic::Monteggia Traumatology UpperExtremity
Le déficit de sensibilité dans le territoire du {{c1::nerf passant par}} la loge souffrante est un signe précoce et fiable.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Neurovasculaire Topic::SyndromeDeLoge Traumatology UpperExtremity
Les fractures des deux os de l’avant-bras représentent {{c1::5%}} des fractures de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Mechanism::Chute Orthopedics Pediatrics Region::AvantBras Topic::BoisVert Traumatology UpperExtremity
{{c1::Le traitement orthopédique}} est le plus souvent indiqué dans les fractures des deux os de l’avant-bras de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications GrowthPlate Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::AvantBras SalterHarris SurgicalManagement Topic::BoisVert Topic::CalVicieux Topic::DecollementEpiphysaire Topic::SyndromeDeLoge Traumatology UpperExtremity
"On considère que le remodelage est excellent pour un angle de moins de {{c1::30°}} à 6ans et de moins de 15° à 10ans, mais la grande variabilité des corrections incite à la prudence.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications GrowthPlate Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::AvantBras SalterHarris SurgicalManagement Topic::BoisVert Topic::CalVicieux Topic::DecollementEpiphysaire Topic::SyndromeDeLoge Traumatology UpperExtremity
La sécurité est de recommander la correction des déformations angulaires supérieures à {{c1::10°}} au-delà de 10ans.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications GrowthPlate Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::AvantBras SalterHarris SurgicalManagement Topic::BoisVert Topic::CalVicieux Topic::DecollementEpiphysaire Topic::SyndromeDeLoge Traumatology UpperExtremity
Les fractures des deux os de l’avant-bras représentent {{c1::5%}} des fractures de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::Sport Orthopedics Pediatrics Region::AvantBras Topic::BoisVert Traumatology UpperExtremity
L'embrochage percutané soit par broches de Kirschner stable ou par broches de {{c1::Métaizeau}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Sport Orthopedics Pediatrics Region::AvantBras SurgicalManagement Topic::BoisVert Traumatology UpperExtremity
Le traitement du syndrome de {{c1::Volkmann}} à ce stade reste palliatif.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications NonOperativeManagement Orthopedics Pediatrics Region::AvantBras Topic::Neurovasculaire Traumatology UpperExtremity
{{c1::20%}} intéressent le cartilage de croissance et sont des décollement épiphysaires de radius.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Poignet SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
{{c1::40%}} de ces fractures atteignent les deux os.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Poignet SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
"{{c1::40%}} n’atteignent qu’un seul os, en règle général le radius.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Poignet SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
{{c1::Leur mécanisme}} est le plus souvent indirect par chute sur le poignet.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Poignet SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
"Pour les fractures à bascule postérieure, il est préférable que le plâtre soit fait sur un poignet en flexion de {{c1::45 à 60°}} pour prévenir un éventuel déplacement secondaire.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning GrowthPlate Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Poignet SalterHarris SurgicalManagement Topic::BoisVert Topic::DecollementEpiphysaire Topic::Toddler Traumatology UpperExtremity
